t,m1,m2,m3,m4,vbat
1.167356617450714111e+02,5.160800000000000000e+04,4.325500000000000000e+04,5.368500000000000000e+04,3.901500000000000000e+04,3.330791950225830078e+00
1.168720688819885254e+02,5.036500000000000000e+04,4.404300000000000000e+04,5.102600000000000000e+04,4.135900000000000000e+04,3.341349124908447266e+00
1.170176086425781250e+02,4.888200000000000000e+04,4.287600000000000000e+04,5.221000000000000000e+04,4.173000000000000000e+04,3.346627712249755859e+00
1.171600043773651123e+02,4.962500000000000000e+04,4.109100000000000000e+04,4.979500000000000000e+04,4.051900000000000000e+04,3.357184886932373047e+00
1.173037254810333252e+02,5.025100000000000000e+04,4.653600000000000000e+04,5.172100000000000000e+04,4.002000000000000000e+04,3.330791950225830078e+00
1.174475536346435547e+02,4.930700000000000000e+04,4.617200000000000000e+04,5.194100000000000000e+04,4.326800000000000000e+04,3.325513362884521484e+00
1.175889196395874023e+02,4.896200000000000000e+04,4.867600000000000000e+04,5.200100000000000000e+04,4.121500000000000000e+04,3.330791950225830078e+00
1.177312145233154297e+02,4.825100000000000000e+04,4.758100000000000000e+04,5.053100000000000000e+04,4.322200000000000000e+04,3.336070537567138672e+00
1.178747138977050781e+02,4.924200000000000000e+04,4.830900000000000000e+04,4.786700000000000000e+04,4.303300000000000000e+04,3.336070537567138672e+00
1.180193409919738770e+02,4.919500000000000000e+04,4.743500000000000000e+04,5.057400000000000000e+04,4.363900000000000000e+04,3.330791950225830078e+00
1.181658124923706055e+02,4.957100000000000000e+04,4.706800000000000000e+04,5.015600000000000000e+04,4.424700000000000000e+04,3.330791950225830078e+00
1.183056421279907227e+02,4.907600000000000000e+04,4.784700000000000000e+04,5.116300000000000000e+04,4.297900000000000000e+04,3.330791950225830078e+00
1.184458570480346680e+02,4.931500000000000000e+04,4.770700000000000000e+04,5.075900000000000000e+04,4.245300000000000000e+04,3.330791950225830078e+00
1.185932486057281494e+02,4.937600000000000000e+04,4.572900000000000000e+04,5.102100000000000000e+04,4.167900000000000000e+04,3.341349124908447266e+00
1.187401857376098633e+02,4.941800000000000000e+04,4.515200000000000000e+04,5.206500000000000000e+04,4.048800000000000000e+04,3.336070537567138672e+00
1.188835206031799316e+02,4.941200000000000000e+04,4.475000000000000000e+04,5.321300000000000000e+04,4.140800000000000000e+04,3.330791950225830078e+00
1.190289471149444580e+02,4.973000000000000000e+04,4.548300000000000000e+04,5.325200000000000000e+04,4.182500000000000000e+04,3.325513362884521484e+00
1.191746366024017334e+02,5.176300000000000000e+04,4.556500000000000000e+04,5.133500000000000000e+04,4.080200000000000000e+04,3.330791950225830078e+00
1.193196280002593994e+02,5.000600000000000000e+04,4.573900000000000000e+04,5.365200000000000000e+04,4.056800000000000000e+04,3.330791950225830078e+00
1.194646410942077637e+02,4.951900000000000000e+04,4.532300000000000000e+04,5.410500000000000000e+04,4.091500000000000000e+04,3.330791950225830078e+00
1.196091473102569580e+02,4.973800000000000000e+04,4.550500000000000000e+04,5.220100000000000000e+04,4.386700000000000000e+04,3.330791950225830078e+00
1.197553501129150391e+02,4.959200000000000000e+04,4.794000000000000000e+04,5.187200000000000000e+04,4.218600000000000000e+04,3.325513362884521484e+00
1.198999562263488770e+02,4.986500000000000000e+04,4.629100000000000000e+04,5.186600000000000000e+04,4.267600000000000000e+04,3.325513362884521484e+00
1.200419676303863525e+02,4.867700000000000000e+04,4.569600000000000000e+04,5.220300000000000000e+04,4.305100000000000000e+04,3.330791950225830078e+00
1.201861791610717773e+02,4.932600000000000000e+04,4.658700000000000000e+04,5.116400000000000000e+04,4.274800000000000000e+04,3.330791950225830078e+00
1.203304693698883057e+02,4.923600000000000000e+04,4.562000000000000000e+04,5.247900000000000000e+04,4.340100000000000000e+04,3.325513362884521484e+00
1.204745006561279297e+02,4.957500000000000000e+04,4.473300000000000000e+04,5.297600000000000000e+04,4.244800000000000000e+04,3.325513362884521484e+00
1.206197586059570312e+02,4.998400000000000000e+04,4.489800000000000000e+04,5.227300000000000000e+04,4.261400000000000000e+04,3.330791950225830078e+00
1.207647597789764404e+02,4.964900000000000000e+04,4.552100000000000000e+04,5.234700000000000000e+04,4.283000000000000000e+04,3.325513362884521484e+00
1.209093441963195801e+02,4.813100000000000000e+04,4.602100000000000000e+04,5.194500000000000000e+04,4.419800000000000000e+04,3.325513362884521484e+00
1.210521404743194580e+02,4.678500000000000000e+04,4.651600000000000000e+04,5.189200000000000000e+04,4.543500000000000000e+04,3.330791950225830078e+00
1.212026309967041016e+02,4.700000000000000000e+04,4.719600000000000000e+04,5.157800000000000000e+04,4.472700000000000000e+04,3.325513362884521484e+00
1.213484172821044922e+02,4.695200000000000000e+04,4.843000000000000000e+04,5.078300000000000000e+04,4.430900000000000000e+04,3.325513362884521484e+00
1.214928481578826904e+02,4.830000000000000000e+04,4.752900000000000000e+04,5.057100000000000000e+04,4.432400000000000000e+04,3.325513362884521484e+00
1.216327993869781494e+02,4.795700000000000000e+04,4.735700000000000000e+04,5.148400000000000000e+04,4.299900000000000000e+04,3.330791950225830078e+00
1.217713060379028320e+02,4.870700000000000000e+04,4.637200000000000000e+04,5.073100000000000000e+04,4.342700000000000000e+04,3.330791950225830078e+00
1.219124953746795654e+02,4.868200000000000000e+04,4.683500000000000000e+04,5.107800000000000000e+04,4.317700000000000000e+04,3.330791950225830078e+00
1.220479629039764404e+02,4.788300000000000000e+04,4.756300000000000000e+04,5.155100000000000000e+04,4.118300000000000000e+04,3.336070537567138672e+00
1.221868662834167480e+02,4.871600000000000000e+04,4.724200000000000000e+04,5.186700000000000000e+04,4.192700000000000000e+04,3.325513362884521484e+00
1.223257818222045898e+02,4.875700000000000000e+04,4.729900000000000000e+04,5.211800000000000000e+04,4.273500000000000000e+04,3.330791950225830078e+00
1.224612889289855957e+02,4.888500000000000000e+04,4.717300000000000000e+04,5.253000000000000000e+04,4.371000000000000000e+04,3.320234775543212891e+00
1.225984017848968506e+02,4.867500000000000000e+04,4.825500000000000000e+04,5.243400000000000000e+04,4.418300000000000000e+04,3.314955949783325195e+00
1.227366075515747070e+02,4.830900000000000000e+04,4.840200000000000000e+04,5.212500000000000000e+04,4.446500000000000000e+04,3.314955949783325195e+00
1.228733420372009277e+02,4.911000000000000000e+04,4.700700000000000000e+04,5.103700000000000000e+04,4.516500000000000000e+04,3.320234775543212891e+00
1.230119228363037109e+02,4.919000000000000000e+04,4.760100000000000000e+04,5.062400000000000000e+04,4.343300000000000000e+04,3.325513362884521484e+00
1.231476440429687500e+02,4.798600000000000000e+04,4.694000000000000000e+04,5.155700000000000000e+04,4.321200000000000000e+04,3.330791950225830078e+00
1.232849254608154297e+02,4.883300000000000000e+04,4.741500000000000000e+04,5.066700000000000000e+04,4.351300000000000000e+04,3.325513362884521484e+00
1.234225833415985107e+02,4.938700000000000000e+04,4.699800000000000000e+04,5.043600000000000000e+04,4.282600000000000000e+04,3.325513362884521484e+00
1.235650770664215088e+02,4.879200000000000000e+04,4.581100000000000000e+04,5.095300000000000000e+04,4.205400000000000000e+04,3.330791950225830078e+00
1.237039098739624023e+02,4.888900000000000000e+04,4.657900000000000000e+04,5.217700000000000000e+04,4.234800000000000000e+04,3.325513362884521484e+00
1.238421127796173096e+02,4.909300000000000000e+04,4.610000000000000000e+04,5.214000000000000000e+04,4.273300000000000000e+04,3.325513362884521484e+00
1.239820563793182373e+02,4.905300000000000000e+04,4.745600000000000000e+04,5.276100000000000000e+04,4.119700000000000000e+04,3.320234775543212891e+00
1.241198081970214844e+02,4.940000000000000000e+04,4.719900000000000000e+04,5.247400000000000000e+04,4.155700000000000000e+04,3.325513362884521484e+00
1.242618668079376221e+02,4.940000000000000000e+04,4.719900000000000000e+04,5.247400000000000000e+04,4.155700000000000000e+04,3.325513362884521484e+00
1.244041399955749512e+02,5.144000000000000000e+04,4.521000000000000000e+04,5.230100000000000000e+04,4.212800000000000000e+04,3.314955949783325195e+00
1.245442025661468506e+02,5.039600000000000000e+04,4.544900000000000000e+04,5.299500000000000000e+04,4.180100000000000000e+04,3.320234775543212891e+00
1.246822702884674072e+02,5.003300000000000000e+04,4.583100000000000000e+04,5.346100000000000000e+04,4.105600000000000000e+04,3.320234775543212891e+00
1.248194572925567627e+02,4.847800000000000000e+04,4.137300000000000000e+04,5.083700000000000000e+04,3.887000000000000000e+04,3.357184886932373047e+00
1.249601664543151855e+02,4.974300000000000000e+04,4.127600000000000000e+04,5.229100000000000000e+04,3.960400000000000000e+04,3.341349124908447266e+00
1.251085770130157471e+02,5.061000000000000000e+04,4.340800000000000000e+04,5.315500000000000000e+04,3.883300000000000000e+04,3.330791950225830078e+00
1.252516226768493652e+02,5.044300000000000000e+04,4.300600000000000000e+04,5.359900000000000000e+04,4.194900000000000000e+04,3.325513362884521484e+00
1.253965449333190918e+02,4.989000000000000000e+04,4.563700000000000000e+04,5.353200000000000000e+04,4.192700000000000000e+04,3.320234775543212891e+00
1.255384821891784668e+02,4.933500000000000000e+04,4.767100000000000000e+04,5.171100000000000000e+04,4.247000000000000000e+04,3.320234775543212891e+00
1.256838243007659912e+02,4.971100000000000000e+04,4.701200000000000000e+04,5.132500000000000000e+04,4.113800000000000000e+04,3.325513362884521484e+00
1.258271458148956299e+02,4.964200000000000000e+04,4.572400000000000000e+04,5.205000000000000000e+04,4.009800000000000000e+04,3.330791950225830078e+00
1.259693470001220703e+02,4.917700000000000000e+04,4.630300000000000000e+04,5.210800000000000000e+04,4.025800000000000000e+04,3.330791950225830078e+00
1.261137394905090332e+02,5.015800000000000000e+04,4.568200000000000000e+04,5.149500000000000000e+04,4.113300000000000000e+04,3.325513362884521484e+00
1.262572486400604248e+02,5.030400000000000000e+04,4.489700000000000000e+04,5.214700000000000000e+04,4.191900000000000000e+04,3.325513362884521484e+00
1.264001569747924805e+02,4.948300000000000000e+04,4.536500000000000000e+04,5.177300000000000000e+04,4.087800000000000000e+04,3.330791950225830078e+00
1.265452196598052979e+02,4.945200000000000000e+04,4.567700000000000000e+04,5.119200000000000000e+04,4.113900000000000000e+04,3.330791950225830078e+00
1.266916716098785400e+02,4.862200000000000000e+04,4.581000000000000000e+04,5.185000000000000000e+04,4.168600000000000000e+04,3.330791950225830078e+00
1.268296740055084229e+02,5.047900000000000000e+04,4.594900000000000000e+04,5.061600000000000000e+04,4.202800000000000000e+04,3.325513362884521484e+00
1.269702336788177490e+02,5.135800000000000000e+04,4.542000000000000000e+04,5.062000000000000000e+04,4.295400000000000000e+04,3.325513362884521484e+00
1.271071429252624512e+02,4.992200000000000000e+04,4.737900000000000000e+04,5.123500000000000000e+04,4.335600000000000000e+04,3.314955949783325195e+00
1.272381846904754639e+02,4.824100000000000000e+04,4.873500000000000000e+04,5.250200000000000000e+04,4.206600000000000000e+04,3.320234775543212891e+00
1.273796906471252441e+02,5.022900000000000000e+04,4.534500000000000000e+04,5.306400000000000000e+04,4.181800000000000000e+04,3.325513362884521484e+00
1.275178005695343018e+02,5.247000000000000000e+04,4.389200000000000000e+04,5.217000000000000000e+04,4.114400000000000000e+04,3.320234775543212891e+00
1.276526522636413574e+02,5.396100000000000000e+04,4.290700000000000000e+04,5.248300000000000000e+04,3.749600000000000000e+04,3.325513362884521484e+00
1.277939622402191162e+02,5.089200000000000000e+04,4.556500000000000000e+04,5.033200000000000000e+04,4.323400000000000000e+04,3.320234775543212891e+00
1.279333889484405518e+02,4.551600000000000000e+04,4.886900000000000000e+04,4.894500000000000000e+04,4.719800000000000000e+04,3.320234775543212891e+00
1.280686390399932861e+02,4.872900000000000000e+04,4.639200000000000000e+04,4.966000000000000000e+04,4.469500000000000000e+04,3.320234775543212891e+00
1.282042291164398193e+02,4.956300000000000000e+04,4.387800000000000000e+04,5.036300000000000000e+04,4.334700000000000000e+04,3.325513362884521484e+00
1.283399469852447510e+02,5.018000000000000000e+04,4.559700000000000000e+04,5.042400000000000000e+04,4.005900000000000000e+04,3.330791950225830078e+00
1.284788289070129395e+02,5.219500000000000000e+04,4.058900000000000000e+04,5.399900000000000000e+04,3.722200000000000000e+04,3.325513362884521484e+00
1.286180198192596436e+02,5.384400000000000000e+04,3.972200000000000000e+04,5.362700000000000000e+04,3.649900000000000000e+04,3.325513362884521484e+00
1.287573051452636719e+02,5.274100000000000000e+04,4.280400000000000000e+04,5.304100000000000000e+04,3.719100000000000000e+04,3.325513362884521484e+00
1.288932166099548340e+02,5.236500000000000000e+04,4.388800000000000000e+04,5.204900000000000000e+04,3.850900000000000000e+04,3.325513362884521484e+00
1.290338561534881592e+02,5.128500000000000000e+04,4.384800000000000000e+04,5.115200000000000000e+04,4.234900000000000000e+04,3.320234775543212891e+00
1.291719584465026855e+02,4.953400000000000000e+04,4.698400000000000000e+04,5.022600000000000000e+04,4.316500000000000000e+04,3.325513362884521484e+00
1.293111999034881592e+02,4.812000000000000000e+04,4.709900000000000000e+04,4.953000000000000000e+04,4.541100000000000000e+04,3.320234775543212891e+00
1.294803733825683594e+02,4.704300000000000000e+04,4.679200000000000000e+04,4.903300000000000000e+04,4.619200000000000000e+04,3.325513362884521484e+00
1.296244547367095947e+02,4.963600000000000000e+04,4.621500000000000000e+04,4.832400000000000000e+04,4.366000000000000000e+04,3.325513362884521484e+00
1.297616028785705566e+02,4.865800000000000000e+04,4.495200000000000000e+04,5.216500000000000000e+04,4.109900000000000000e+04,3.325513362884521484e+00
1.298963100910186768e+02,5.148300000000000000e+04,4.442200000000000000e+04,5.183700000000000000e+04,3.817000000000000000e+04,3.325513362884521484e+00
1.300311784744262695e+02,5.318900000000000000e+04,4.129000000000000000e+04,5.272900000000000000e+04,3.887800000000000000e+04,3.320234775543212891e+00
1.301690268516540527e+02,5.344900000000000000e+04,4.286200000000000000e+04,5.289600000000000000e+04,3.727500000000000000e+04,3.320234775543212891e+00
1.303084182739257812e+02,5.078200000000000000e+04,4.386700000000000000e+04,5.374000000000000000e+04,4.150700000000000000e+04,3.314955949783325195e+00
1.304436833858489990e+02,5.180300000000000000e+04,4.615000000000000000e+04,5.138800000000000000e+04,4.088500000000000000e+04,3.314955949783325195e+00
1.305389492511749268e+02,5.187000000000000000e+04,4.627400000000000000e+04,5.049600000000000000e+04,4.205300000000000000e+04,3.314955949783325195e+00
1.306087491512298584e+02,4.900100000000000000e+04,4.741200000000000000e+04,5.191600000000000000e+04,4.232300000000000000e+04,3.314955949783325195e+00
1.306569590568542480e+02,5.034400000000000000e+04,4.702200000000000000e+04,4.924000000000000000e+04,4.453800000000000000e+04,3.314955949783325195e+00
1.307212858200073242e+02,5.221000000000000000e+04,4.680400000000000000e+04,4.714600000000000000e+04,4.442100000000000000e+04,3.314955949783325195e+00
1.308373208045959473e+02,4.892500000000000000e+04,5.038600000000000000e+04,4.942000000000000000e+04,4.012000000000000000e+04,3.314955949783325195e+00
1.308813486099243164e+02,5.092600000000000000e+04,4.851700000000000000e+04,4.688200000000000000e+04,4.287000000000000000e+04,3.314955949783325195e+00
1.309247901439666748e+02,4.978100000000000000e+04,4.633100000000000000e+04,4.745300000000000000e+04,4.590000000000000000e+04,3.314955949783325195e+00
