t,x,y,z,yaw
3.256620130538940430e+02,2.255417823791503906e+00,-3.933227777481079102e+00,1.340291261672973633e+00,-3.049877671672343235e-02
3.257293097972869873e+02,2.255417823791503906e+00,-3.933227777481079102e+00,1.340291261672973633e+00,-3.049877671672343235e-02
3.257919044494628906e+02,2.265410184860229492e+00,-3.938631296157836914e+00,1.315287232398986816e+00,-3.113340592389472056e-02
3.258582978248596191e+02,2.274423599243164062e+00,-3.941419601440429688e+00,1.294804453849792480e+00,-3.178440941058078423e-02
3.259214150905609131e+02,2.274423599243164062e+00,-3.941419601440429688e+00,1.294804453849792480e+00,-3.178440941058078423e-02
3.259842081069946289e+02,2.285165548324584961e+00,-3.948588371276855469e+00,1.271105051040649414e+00,-2.974504179098756348e-02
3.260468461513519287e+02,2.293466567993164062e+00,-3.953940153121948242e+00,1.251198053359985352e+00,-2.808780865949628974e-02
3.261060085296630859e+02,2.293466567993164062e+00,-3.953940153121948242e+00,1.251198053359985352e+00,-2.808780865949628974e-02
3.261721253395080566e+02,2.301799774169921875e+00,-3.959123849868774414e+00,1.230288743972778320e+00,-2.426485547884975683e-02
3.262338423728942871e+02,2.301799774169921875e+00,-3.959123849868774414e+00,1.230288743972778320e+00,-2.426485547884975683e-02
3.262977485656738281e+02,2.310145378112792969e+00,-3.965032815933227539e+00,1.208280444145202637e+00,-2.089719257309288758e-02
3.264466998577117920e+02,2.320835351943969727e+00,-3.975228071212768555e+00,1.167877078056335449e+00,-1.579581907977553601e-02
3.265135993957519531e+02,2.320835351943969727e+00,-3.975228071212768555e+00,1.167877078056335449e+00,-1.579581907977553601e-02
3.265793693065643311e+02,2.325458765029907227e+00,-3.980028867721557617e+00,1.149026155471801758e+00,-1.573828127636491686e-02
3.266420788764953613e+02,2.325458765029907227e+00,-3.980028867721557617e+00,1.149026155471801758e+00,-1.573828127636491686e-02
3.267142953872680664e+02,2.329290151596069336e+00,-3.983564138412475586e+00,1.128717660903930664e+00,-1.665267971723822377e-02
3.267848761081695557e+02,2.333729028701782227e+00,-3.989217519760131836e+00,1.106391906738281250e+00,-1.734061271780582697e-02
3.268490197658538818e+02,2.336699724197387695e+00,-3.994101285934448242e+00,1.084292650222778320e+00,-1.652149406641660254e-02
3.269291360378265381e+02,2.336699724197387695e+00,-3.994101285934448242e+00,1.084292650222778320e+00,-1.652149406641660254e-02
3.269913363456726074e+02,2.339198350906372070e+00,-3.998570203781127930e+00,1.062902092933654785e+00,-1.518699964863740905e-02
3.270498626232147217e+02,2.341950893402099609e+00,-4.003488540649414062e+00,1.042924165725708008e+00,-1.394205922399863011e-02
